Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Region,City,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit
ORD-102295,2024-01-10,2024-01-14,First Class,CUST-1418,Consumer,West,Plymouth,Office Supplies,Storage,2,65.68,0.15,111.66,6.95
ORD-102443,2024-01-10,2024-01-16,Second Class,CUST-1287,Consumer,South,Southampton,Office Supplies,Binders,2,5.48,0.2,8.77,-0.32
ORD-104799,2024-01-11,2024-01-18,Standard Class,CUST-2322,Consumer,West,Plymouth,Office Supplies,Labels,6,89.96,0.2,431.81,3.14
ORD-105225,2024-01-11,2024-01-17,First Class,CUST-1269,Consumer,South,Reading,Technology,Machines,1,1251.66,0.0,1251.66,270.36
ORD-106140,2024-01-11,2024-01-18,Standard Class,CUST-1576,Consumer,East,Norwich,Office Supplies,Storage,1,96.46,0.0,96.46,33.72
ORD-105167,2024-01-11,2024-01-16,Standard Class,CUST-1381,Consumer,West,Plymouth,Office Supplies,Labels,1,109.29,0.1,98.36,22.52
ORD-100718,2024-01-11,2024-01-14,Standard Class,CUST-2403,Home Office,West,Exeter,Furniture,Furnishings,3,368.43,0.0,1105.29,-29.71
ORD-104781,2024-01-11,2024-01-14,Standard Class,CUST-1646,Home Office,East,Cambridge,Office Supplies,Binders,2,38.56,0.1,69.41,19.25
ORD-105970,2024-01-11,2024-01-16,First Class,CUST-1292,Corporate,East,Peterborough,Technology,Accessories,1,1186.37,0.4,711.82,-135.51
ORD-102125,2024-01-11,2024-01-14,Standard Class,CUST-1227,Consumer,Central,Birmingham,Technology,Copiers,5,1016.72,0.0,5083.6,-444.96
ORD-100739,2024-01-12,2024-01-19,Standard Class,CUST-1521,Consumer,North,Leeds,Office Supplies,Storage,2,11.88,0.15,20.2,2.97
ORD-104674,2024-01-12,2024-01-16,First Class,CUST-1874,Consumer,East,Ipswich,Furniture,Tables,1,85.33,0.1,76.8,-5.39
ORD-104403,2024-01-12,2024-01-14,Second Class,CUST-1942,Corporate,West,Exeter,Technology,Copiers,6,795.64,0.0,4773.84,-93.19
ORD-103272,2024-01-12,2024-01-16,Second Class,CUST-2349,Home Office,South,Brighton,Technology,Copiers,3,310.58,0.3,652.22,-86.82
ORD-103276,2024-01-12,2024-01-17,Standard Class,CUST-1932,Corporate,South,Portsmouth,Technology,Phones,1,1769.9,0.1,1592.91,-185.26
ORD-105338,2024-01-12,2024-01-13,Same Day,CUST-1825,Consumer,East,Ipswich,Technology,Machines,2,700.35,0.0,1400.7,-46.44
ORD-105710,2024-01-12,2024-01-19,First Class,CUST-1276,Consumer,South,Brighton,Technology,Copiers,1,548.34,0.0,548.34,162.28
ORD-101594,2024-01-12,2024-01-15,Standard Class,CUST-1146,Consumer,West,Plymouth,Technology,Phones,1,105.81,0.1,95.23,15.01
ORD-104598,2024-01-12,2024-01-14,Second Class,CUST-1449,Corporate,North,Manchester,Office Supplies,Labels,2,117.54,0.0,235.08,26.6
ORD-103414,2024-01-12,2024-01-15,Same Day,CUST-2042,Home Office,West,Cardiff,Technology,Phones,2,1021.45,0.1,1838.61,63.09
ORD-104052,2024-01-13,2024-01-20,Second Class,CUST-1037,Consumer,West,Plymouth,Technology,Accessories,3,1339.98,0.0,4019.94,925.45
ORD-101300,2024-01-13,2024-01-15,Second Class,CUST-2256,Consumer,West,Plymouth,Office Supplies,Storage,3,52.99,0.3,111.28,2.87
ORD-100777,2024-01-14,2024-01-20,First Class,CUST-2106,Consumer,South,Reading,Office Supplies,Art,3,112.2,0.0,336.6,111.68
ORD-106086,2024-01-14,2024-01-18,Standard Class,CUST-2149,Home Office,North,Manchester,Technology,Machines,1,78.69,0.0,78.69,-6.09
ORD-102762,2024-01-14,2024-01-18,Standard Class,CUST-1801,Home Office,East,Norwich,Furniture,Tables,2,62.7,0.0,125.4,18.72
ORD-105361,2024-01-14,2024-01-19,Second Class,CUST-1437,Consumer,North,Leeds,Furniture,Furnishings,2,110.02,0.1,198.04,-18.93
ORD-103079,2024-01-14,2024-01-17,Second Class,CUST-1624,Consumer,Central,Nottingham,Furniture,Bookcases,5,558.5,0.3,1954.75,-42.72
ORD-105770,2024-01-14,2024-01-20,Standard Class,CUST-1380,Consumer,East,Peterborough,Office Supplies,Storage,2,73.16,0.0,146.32,48.8
ORD-104918,2024-01-14,2024-01-17,First Class,CUST-1484,Home Office,South,Portsmouth,Office Supplies,Storage,2,113.14,0.3,158.4,-3.43
ORD-100345,2024-01-14,2024-01-17,First Class,CUST-1914,Consumer,South,Portsmouth,Technology,Accessories,1,1322.29,0.1,1190.06,84.9
ORD-102806,2024-01-14,2024-01-17,Second Class,CUST-2396,Consumer,Central,Nottingham,Technology,Phones,4,1597.02,0.15,5429.87,-955.37
ORD-102224,2024-01-14,2024-01-16,Standard Class,CUST-1470,Consumer,North,Newcastle,Office Supplies,Labels,4,54.86,0.0,219.44,31.59
ORD-105992,2024-01-15,2024-01-20,Standard Class,CUST-1768,Consumer,South,Portsmouth,Technology,Copiers,1,528.83,0.0,528.83,124.94
ORD-104912,2024-01-15,2024-01-19,Standard Class,CUST-2450,Consumer,West,Bristol,Office Supplies,Labels,1,48.34,0.15,41.09,-0.39
ORD-101297,2024-01-15,2024-01-19,Standard Class,CUST-1062,Consumer,Central,Leicester,Technology,Machines,1,808.33,0.0,808.33,40.16
ORD-101527,2024-01-16,2024-01-18,Standard Class,CUST-1333,Home Office,East,Cambridge,Office Supplies,Storage,1,10.7,0.0,10.7,1.85
ORD-103848,2024-01-16,2024-01-19,First Class,CUST-2448,Consumer,West,Bristol,Furniture,Tables,2,787.21,0.0,1574.42,199.02
ORD-103642,2024-01-16,2024-01-21,Second Class,CUST-1678,Consumer,East,Ipswich,Furniture,Furnishings,6,791.64,0.0,4749.84,568.62
ORD-100804,2024-01-16,2024-01-22,Standard Class,CUST-1793,Corporate,East,Cambridge,Office Supplies,Binders,4,53.95,0.0,215.8,61.69
ORD-103077,2024-01-16,2024-01-22,Standard Class,CUST-2320,Consumer,Central,Nottingham,Office Supplies,Storage,2,64.12,0.1,115.42,10.66
ORD-102737,2024-01-16,2024-01-20,Standard Class,CUST-2420,Corporate,East,Ipswich,Furniture,Bookcases,6,82.48,0.0,494.88,12.21
ORD-100315,2024-01-16,2024-01-22,Standard Class,CUST-1320,Corporate,West,Bristol,Furniture,Chairs,4,93.72,0.3,262.42,-0.49
ORD-100473,2024-01-16,2024-01-19,Standard Class,CUST-1933,Consumer,East,Cambridge,Office Supplies,Binders,1,88.53,0.0,88.53,22.06
ORD-101993,2024-01-16,2024-01-23,Standard Class,CUST-1450,Consumer,East,Norwich,Office Supplies,Labels,4,61.0,0.15,207.4,12.31
ORD-101914,2024-01-16,2024-01-18,Standard Class,CUST-1685,Corporate,Central,Birmingham,Furniture,Bookcases,2,756.78,0.0,1513.56,257.28
ORD-100735,2024-01-16,2024-01-22,Standard Class,CUST-2155,Corporate,South,Southampton,Technology,Machines,3,59.94,0.2,143.86,-3.62
ORD-102064,2024-01-16,2024-01-21,Second Class,CUST-2183,Consumer,North,Leeds,Furniture,Bookcases,3,851.24,0.4,1532.23,-212.14
ORD-104703,2024-01-17,2024-01-21,Standard Class,CUST-1365,Corporate,South,Southampton,Technology,Accessories,2,240.67,0.15,409.14,-28.7
ORD-101289,2024-01-17,2024-01-19,Standard Class,CUST-1153,Consumer,East,Peterborough,Office Supplies,Binders,1,44.35,0.0,44.35,9.83
ORD-104476,2024-01-17,2024-01-23,First Class,CUST-1816,Consumer,North,Newcastle,Furniture,Furnishings,4,738.34,0.3,2067.35,-53.77
ORD-103399,2024-01-17,2024-01-20,Same Day,CUST-1352,Corporate,Central,Leicester,Office Supplies,Paper,1,113.64,0.5,56.82,1.3
ORD-101437,2024-01-17,2024-01-21,Standard Class,CUST-2363,Consumer,West,Cardiff,Office Supplies,Labels,1,11.3,0.0,11.3,2.13
ORD-102981,2024-01-17,2024-01-19,Standard Class,CUST-1876,Consumer,South,Southampton,Technology,Machines,3,1321.31,0.2,3171.14,485.73
ORD-100077,2024-01-17,2024-01-20,First Class,CUST-2112,Corporate,North,Leeds,Technology,Machines,3,1253.79,0.3,2632.96,-474.28
ORD-101233,2024-01-17,2024-01-20,Standard Class,CUST-1606,Corporate,North,Manchester,Technology,Machines,2,1336.33,0.2,2138.13,-104.66
ORD-101022,2024-01-17,2024-01-20,Second Class,CUST-2471,Corporate,North,Leeds,Office Supplies,Art,1,91.74,0.0,91.74,19.57
ORD-101584,2024-01-18,2024-01-23,Standard Class,CUST-1889,Corporate,East,Cambridge,Technology,Machines,1,148.22,0.0,148.22,39.32
ORD-101370,2024-01-18,2024-01-22,Standard Class,CUST-1991,Consumer,Central,Coventry,Technology,Copiers,5,196.22,0.3,686.77,-143.45
ORD-102294,2024-01-18,2024-01-21,Standard Class,CUST-1029,Consumer,Central,Nottingham,Furniture,Furnishings,3,181.73,0.0,545.19,-1.63
ORD-101177,2024-01-18,2024-01-23,Standard Class,CUST-1207,Consumer,South,Portsmouth,Office Supplies,Storage,3,38.7,0.4,69.66,1.69
ORD-101789,2024-01-19,2024-01-25,Standard Class,CUST-1541,Consumer,East,Peterborough,Office Supplies,Art,4,6.42,0.1,23.11,5.82
ORD-106344,2024-01-19,2024-01-23,Standard Class,CUST-1238,Corporate,South,Brighton,Office Supplies,Binders,2,111.26,0.0,222.52,23.89
ORD-101524,2024-01-19,2024-01-25,Standard Class,CUST-2302,Corporate,East,Peterborough,Office Supplies,Binders,2,118.91,0.15,202.15,14.19
ORD-101053,2024-01-19,2024-01-22,Standard Class,CUST-1467,Home Office,North,Sheffield,Technology,Machines,1,1086.89,0.15,923.86,-163.11
ORD-100632,2024-01-19,2024-01-22,Second Class,CUST-1634,Home Office,West,Exeter,Office Supplies,Paper,6,6.37,0.0,38.22,3.15
ORD-106115,2024-01-19,2024-01-23,Second Class,CUST-1320,Consumer,East,Norwich,Technology,Machines,3,626.71,0.0,1880.13,235.16
ORD-103242,2024-01-20,2024-01-24,Standard Class,CUST-2448,Home Office,West,Bristol,Office Supplies,Labels,2,12.95,0.2,20.72,-0.92
ORD-104169,2024-01-20,2024-01-25,Standard Class,CUST-2037,Corporate,West,Plymouth,Office Supplies,Paper,1,75.71,0.15,64.35,8.39
ORD-102747,2024-01-20,2024-01-25,First Class,CUST-1290,Corporate,West,Exeter,Office Supplies,Storage,1,96.21,0.5,48.1,-2.62
ORD-105964,2024-01-20,2024-01-22,First Class,CUST-1244,Corporate,East,Cambridge,Technology,Phones,5,1136.26,0.0,5681.3,1132.77
ORD-105806,2024-01-20,2024-01-23,Same Day,CUST-1357,Consumer,West,Bristol,Office Supplies,Binders,3,111.67,0.0,335.01,66.01
ORD-101970,2024-01-20,2024-01-23,Second Class,CUST-1375,Home Office,Central,Nottingham,Technology,Copiers,1,1233.84,0.15,1048.76,55.04
ORD-100676,2024-01-20,2024-01-27,Second Class,CUST-1352,Consumer,Central,Birmingham,Office Supplies,Art,1,73.93,0.1,66.54,-0.18
ORD-103743,2024-01-21,2024-01-28,Standard Class,CUST-1992,Consumer,North,Manchester,Furniture,Tables,4,474.14,0.0,1896.56,319.66
ORD-104234,2024-01-21,2024-01-26,Second Class,CUST-1326,Home Office,North,Manchester,Technology,Phones,2,1386.36,0.1,2495.45,4.52
ORD-101533,2024-01-21,2024-01-24,Standard Class,CUST-2207,Corporate,East,Ipswich,Office Supplies,Paper,4,111.45,0.0,445.8,154.49
ORD-103537,2024-01-21,2024-01-26,Standard Class,CUST-1847,Consumer,East,Ipswich,Office Supplies,Paper,1,90.1,0.1,81.09,1.44
ORD-102049,2024-01-21,2024-01-26,Same Day,CUST-1660,Corporate,Central,Birmingham,Technology,Copiers,6,1157.63,0.0,6945.78,-363.38
ORD-105220,2024-01-21,2024-01-27,Standard Class,CUST-2281,Corporate,Central,Nottingham,Technology,Copiers,2,1228.81,0.1,2211.86,-22.42
ORD-105132,2024-01-21,2024-01-26,Second Class,CUST-1619,Consumer,North,Sheffield,Furniture,Furnishings,1,633.36,0.3,443.35,-12.44
ORD-101802,2024-01-21,2024-01-23,Second Class,CUST-1947,Consumer,West,Exeter,Furniture,Furnishings,2,694.76,0.0,1389.52,228.75
ORD-101451,2024-01-22,2024-01-25,Standard Class,CUST-1920,Corporate,Central,Nottingham,Office Supplies,Storage,4,41.36,0.15,140.62,-3.72
ORD-104823,2024-01-22,2024-01-25,Standard Class,CUST-1768,Corporate,South,Southampton,Office Supplies,Storage,3,14.01,0.0,42.03,5.13
ORD-103491,2024-01-22,2024-01-28,Standard Class,CUST-2003,Home Office,West,Bristol,Office Supplies,Labels,4,27.71,0.0,110.84,28.45
ORD-101317,2024-01-22,2024-01-26,Standard Class,CUST-1077,Consumer,Central,Leicester,Technology,Copiers,1,1490.89,0.1,1341.8,-28.64
ORD-101615,2024-01-22,2024-01-25,Same Day,CUST-1084,Corporate,East,Ipswich,Furniture,Tables,3,235.31,0.1,635.34,-21.01
ORD-100233,2024-01-22,2024-01-27,First Class,CUST-2149,Home Office,South,Reading,Technology,Accessories,1,1221.39,0.0,1221.39,146.01
ORD-102306,2024-01-22,2024-01-25,Standard Class,CUST-1686,Consumer,North,Leeds,Technology,Copiers,4,30.39,0.15,103.33,7.82
ORD-106213,2024-01-22,2024-01-27,Same Day,CUST-1387,Home Office,Central,Nottingham,Office Supplies,Binders,2,29.23,0.0,58.46,20.35
ORD-103304,2024-01-22,2024-01-29,Standard Class,CUST-1964,Consumer,South,Portsmouth,Furniture,Bookcases,3,343.13,0.15,874.98,-81.14
ORD-102415,2024-01-22,2024-01-24,Standard Class,CUST-2007,Corporate,Central,Nottingham,Office Supplies,Storage,2,49.24,0.0,98.48,32.96
ORD-104727,2024-01-22,2024-01-25,Second Class,CUST-1726,Consumer,West,Plymouth,Furniture,Furnishings,1,71.76,0.0,71.76,1.0
ORD-104279,2024-01-23,2024-01-29,Standard Class,CUST-1837,Home Office,Central,Leicester,Furniture,Tables,1,663.15,0.1,596.84,63.33
ORD-102401,2024-01-23,2024-01-25,Standard Class,CUST-2362,Corporate,East,Peterborough,Furniture,Furnishings,6,139.51,0.2,669.65,-100.51
ORD-105326,2024-01-23,2024-01-28,First Class,CUST-1431,Corporate,Central,Birmingham,Technology,Copiers,4,1374.89,0.1,4949.6,-397.43
ORD-102342,2024-01-24,2024-01-25,First Class,CUST-1229,Corporate,West,Bristol,Office Supplies,Labels,1,50.41,0.1,45.37,6.61
ORD-102988,2024-01-24,2024-01-26,Standard Class,CUST-1459,Consumer,East,Norwich,Office Supplies,Storage,3,28.73,0.0,86.19,29.08
ORD-102807,2024-01-24,2024-01-25,Second Class,CUST-2190,Consumer,East,Peterborough,Furniture,Tables,1,378.73,0.1,340.86,40.49
ORD-101723,2024-01-24,2024-01-28,Standard Class,CUST-1773,Corporate,North,Newcastle,Office Supplies,Labels,2,39.8,0.0,79.6,21.71
ORD-106022,2024-01-24,2024-01-28,Standard Class,CUST-1803,Home Office,North,Leeds,Technology,Copiers,5,631.04,0.0,3155.2,111.96
ORD-104170,2024-01-24,2024-01-28,Standard Class,CUST-1943,Consumer,East,Ipswich,Office Supplies,Labels,1,85.69,0.0,85.69,15.61
ORD-104874,2024-01-25,2024-01-28,Standard Class,CUST-2235,Consumer,Central,Leicester,Office Supplies,Art,1,76.72,0.5,38.36,-6.46
ORD-106486,2024-01-25,2024-01-30,Standard Class,CUST-2162,Consumer,North,Manchester,Furniture,Chairs,1,427.82,0.1,385.04,-16.52
ORD-102815,2024-01-25,2024-01-28,Second Class,CUST-2031,Consumer,South,Reading,Office Supplies,Art,2,50.06,0.0,100.12,22.7
ORD-101366,2024-01-25,2024-01-27,Same Day,CUST-1856,Consumer,West,Bristol,Office Supplies,Binders,2,77.01,0.0,154.02,41.64
ORD-102175,2024-01-25,2024-01-26,Standard Class,CUST-2186,Corporate,West,Bristol,Technology,Accessories,1,360.64,0.0,360.64,69.02
ORD-105408,2024-01-25,2024-01-29,Second Class,CUST-1601,Consumer,East,Norwich,Office Supplies,Paper,3,72.07,0.3,151.35,10.05
ORD-103982,2024-01-26,2024-01-27,Standard Class,CUST-2198,Consumer,West,Plymouth,Office Supplies,Labels,2,65.8,0.3,92.12,14.91
ORD-105799,2024-01-26,2024-01-30,Standard Class,CUST-1543,Home Office,West,Exeter,Technology,Accessories,2,1646.62,0.1,2963.92,558.75
ORD-104922,2024-01-26,2024-01-31,Standard Class,CUST-1462,Corporate,North,Manchester,Furniture,Furnishings,4,731.21,0.1,2632.36,11.27
ORD-106365,2024-01-26,2024-01-31,First Class,CUST-1893,Consumer,North,Newcastle,Technology,Copiers,2,536.35,0.15,911.79,143.92
ORD-106203,2024-01-27,2024-01-31,Standard Class,CUST-2450,Consumer,North,Leeds,Office Supplies,Labels,1,70.06,0.2,56.05,7.68
ORD-103729,2024-01-27,2024-02-02,Standard Class,CUST-2389,Home Office,North,Leeds,Technology,Copiers,1,40.34,0.0,40.34,-2.88
ORD-106072,2024-01-27,2024-02-02,First Class,CUST-1147,Corporate,West,Bristol,Furniture,Tables,5,171.45,0.2,685.8,-106.21
ORD-102266,2024-01-27,2024-01-30,Standard Class,CUST-1408,Corporate,East,Cambridge,Office Supplies,Paper,2,71.73,0.4,86.08,-1.53
